x,y,filename,cluster,full_path
2.5657477,13.137004,Cancel Multiple Orders with the Order Cancellation Template.md,-1,amazon_help_pages_us_prod/General Documentation/Cancel Multiple Orders with the Order Cancellation Template.md
1.6178687,13.6214905,Ship-to-Store Policies.md,-1,amazon_help_pages_us_prod/General Documentation/Ship-to-Store Policies.md
0.51306707,12.0892105,2024 Multi-Channel Fulfillment holiday peak fulfillment fee.md,0,amazon_help_pages_us_prod/General Documentation/2024 Multi-Channel Fulfillment holiday peak fulfillment fee.md
-3.3323376,11.462538,Complete an appeal questionnaire to reinstate selling privileges.md,32,amazon_help_pages_us_prod/General Documentation/Complete an appeal questionnaire to reinstate selling privileges.md
-5.014073,11.945153,Consumer Product Safety Commission CPSC regulated products.md,0,amazon_help_pages_us_prod/General Documentation/Consumer Product Safety Commission CPSC regulated products.md
1.3467909,7.508434,Additional resources for increasing sales.md,9,amazon_help_pages_us_prod/General Documentation/Additional resources for increasing sales.md
1.5282874,11.836255,Customer service for seller-fulfilled orders.md,20,amazon_help_pages_us_prod/General Documentation/Customer service for seller-fulfilled orders.md
0.29146335,14.909359,Default transit time.md,-1,amazon_help_pages_us_prod/General Documentation/Default transit time.md
0.8293724,14.869508,Seller Fulfilled Prime performance requirements.md,0,amazon_help_pages_us_prod/General Documentation/Seller Fulfilled Prime performance requirements.md
-1.1946487,10.913942,Amazon Brand Referral Bonus Terms and Conditions.md,-1,amazon_help_pages_us_prod/General Documentation/Amazon Brand Referral Bonus Terms and Conditions.md
-2.5688088,11.044561,Inappropriate product reviews.md,33,amazon_help_pages_us_prod/General Documentation/Inappropriate product reviews.md
4.6610384,9.2073555,Seller Wallet registration FAQ for sellers from the US.md,0,amazon_help_pages_us_prod/General Documentation/Seller Wallet registration FAQ for sellers from the US.md
-0.27050936,11.996329,FBA capacity limits.md,0,amazon_help_pages_us_prod/General Documentation/FBA capacity limits.md
1.4425359,7.4602194,Selling on Amazon video tutorials.md,9,amazon_help_pages_us_prod/General Documentation/Selling on Amazon video tutorials.md
1.4370885,10.846838,Seller-fulfilled Export FAQ.md,34,amazon_help_pages_us_prod/General Documentation/Seller-fulfilled Export FAQ.md
3.8032045,9.217578,Bank account and credit or debit card information for your seller account.md,5,amazon_help_pages_us_prod/General Documentation/Bank account and credit or debit card information for your seller account.md
-1.4578925,8.878855,About products and listings.md,-1,amazon_help_pages_us_prod/General Documentation/About products and listings.md
-3.0347877,9.066023,Listing requirements Product IDs GTINs.md,17,amazon_help_pages_us_prod/General Documentation/Listing requirements Product IDs GTINs.md
-0.21871933,13.180412,Delivering imports to Amazon.md,0,amazon_help_pages_us_prod/General Documentation/Delivering imports to Amazon.md
3.0752153,8.848955,Use of business credit reports.md,-1,amazon_help_pages_us_prod/General Documentation/Use of business credit reports.md
-4.2573147,10.740551,Art - Home Decor.md,-1,amazon_help_pages_us_prod/General Documentation/Art - Home Decor.md
-2.0297673,9.59946,Get started with Amazon Handmade.md,0,amazon_help_pages_us_prod/General Documentation/Get started with Amazon Handmade.md
1.5156395,10.959227,Fulfilling International Orders on Your Own.md,-1,amazon_help_pages_us_prod/General Documentation/Fulfilling International Orders on Your Own.md
-4.6858573,11.816192,Paint removal products.md,-1,amazon_help_pages_us_prod/General Documentation/Paint removal products.md
-4.09488,11.650613,Radio Frequency Devices.md,35,amazon_help_pages_us_prod/General Documentation/Radio Frequency Devices.md
1.6538383,10.031533,Unify global accounts.md,-1,amazon_help_pages_us_prod/General Documentation/Unify global accounts.md
0.7808316,14.970836,Requirements for Two-Day Shipping.md,0,amazon_help_pages_us_prod/General Documentation/Requirements for Two-Day Shipping.md
-2.3313732,10.040099,Selling on Amazon.md,36,amazon_help_pages_us_prod/General Documentation/Selling on Amazon.md
-3.190221,9.441154,A content guidelines.md,0,amazon_help_pages_us_prod/General Documentation/A content guidelines.md
3.9566576,8.922234,Paying for Amazon Global Logistics.md,-1,amazon_help_pages_us_prod/General Documentation/Paying for Amazon Global Logistics.md
2.477904,12.319619,Archived Orders Report.md,37,amazon_help_pages_us_prod/General Documentation/Archived Orders Report.md
0.60167915,12.291692,Understanding item package weight and dimensions.md,0,amazon_help_pages_us_prod/General Documentation/Understanding item package weight and dimensions.md
0.99677396,14.826718,Late shipment rate.md,0,amazon_help_pages_us_prod/General Documentation/Late shipment rate.md
-0.88184166,12.150667,Stranded inventory overview.md,0,amazon_help_pages_us_prod/General Documentation/Stranded inventory overview.md
-0.82265973,11.813645,FBA Liquidations.md,38,amazon_help_pages_us_prod/General Documentation/FBA Liquidations.md
1.9650716,9.614135,Selling plan comparison.md,0,amazon_help_pages_us_prod/General Documentation/Selling plan comparison.md
-3.8354661,12.766246,Dangerous Goods policy.md,0,amazon_help_pages_us_prod/General Documentation/Dangerous Goods policy.md
4.7708817,9.170058,Seller Wallet registration FAQ for sellers from Mexico.md,0,amazon_help_pages_us_prod/General Documentation/Seller Wallet registration FAQ for sellers from Mexico.md
-0.013914703,10.424367,Business goal creation.md,39,amazon_help_pages_us_prod/General Documentation/Business goal creation.md
-0.57857454,13.68314,Track your shipments Shipping Queue and shipment summary.md,0,amazon_help_pages_us_prod/General Documentation/Track your shipments Shipping Queue and shipment summary.md
-4.3481803,10.760104,Handmade Electronics Accessories guidelines.md,0,amazon_help_pages_us_prod/General Documentation/Handmade Electronics Accessories guidelines.md
-2.2980773,9.191649,Keyword attributes explained.md,-1,amazon_help_pages_us_prod/General Documentation/Keyword attributes explained.md
-3.1069102,12.631946,Expiration dates on seller-fulfilled products.md,0,amazon_help_pages_us_prod/General Documentation/Expiration dates on seller-fulfilled products.md
-1.564565,8.456358,Modify Your Inventory File.md,0,amazon_help_pages_us_prod/General Documentation/Modify Your Inventory File.md
1.5263168,10.92233,Global Selling Fulfillment Options.md,0,amazon_help_pages_us_prod/General Documentation/Global Selling Fulfillment Options.md
-4.0061107,11.723909,Strike anywhere matches.md,-1,amazon_help_pages_us_prod/General Documentation/Strike anywhere matches.md
-0.26546365,13.738732,USPS SCAN forms.md,-1,amazon_help_pages_us_prod/General Documentation/USPS SCAN forms.md
-3.8896863,9.286654,Propping.md,0,amazon_help_pages_us_prod/General Documentation/Propping.md
